# word	per_million
紀錄	106.0554
後面	105.9798
因素	105.5332
方便	105.5203
正確	105.4826
根	105.4002
議題	105.2777
替	105.1874
放棄	105.1049
包	105.0587
提	104.9044
人口	104.8960
桃園	104.8349
小說	104.7770
夢	104.7571
理論	104.6759
類似	104.4034
花蓮	104.3644
辦	104.3550
回收	104.3136
緊張	104.0940
關鍵	104.0269
發揮	103.9622
引發	103.9283
同意	103.9260
發表	103.8426
作用	103.8363
製造	103.7459
說話	103.5429
入	103.5414
小姐	103.5349
失去	103.4982
一點點	103.4822
重點	103.2381
般	102.9826
長大	102.8688
期	102.8050
生物	102.7330
成績	102.5616
聲	102.4926
記憶	102.3293
何	102.3112
角度	102.3037
忙	102.2978
法國	102.2950
宣布	102.2563
意識	102.2020
預計	102.0288
會不會	101.9353
青年	101.9258
不足	101.8927
展現	101.8735
線	101.6665
好吃	101.4834
美麗	101.4016
騎	101.3437
回應	101.2646
厲害	101.2616
風	101.1744
打造	100.8918
神	100.7736
篇	100.6509
中間	100.5441
待	100.4433
官員	100.3081
蔡	100.0960
早上	99.8864
等於	99.7439
成本	99.5867
結婚	99.4496
怎樣	99.4204
票	99.3809
獨立	99.2101
晚	99.1829
沒辦法	99.0984
消息	99.0649
爭取	98.9968
男人	98.9302
班	98.8999
剛好	98.8893
仍然	98.8644
有時	98.7900
交流	98.6324
方	98.5981
派	98.5591
有效	98.4499
閱讀	98.2057
千	98.1210
留下	98.0415
歐洲	97.9276
範圍	97.8785
區域	97.7841
當初	97.5939
任	97.5611
一旦	97.5367
感情	97.5089
順利	97.4637
願	97.4010
重視	97.3903
媽	97.2193
頁	97.1584
老闆	97.0926
電子	96.9748
黃	96.8491
竟然	96.8420
委員會	96.6107
前面	96.5515
符合	96.5264
證明	96.4407
機構	96.4031
蓋	96.3587
進一步	96.3166
反對	96.2130
戰爭	96.1662
速度	96.1640
須	96.0648
降低	96.0499
縣府	95.9705
從小	95.8417
比如說	95.7870
答案	95.7747
退休	95.7736
打開	95.7724
創新	95.7072
蠻	95.6456
採	95.4978
訊息	95.4819
改革	95.1199
料理	95.0133
理解	94.9913
上午	94.9472
戲	94.8979
練習	94.8237
作者	94.6690
出去	94.3751
食品	94.2920
成員	94.1845
人數	94.1346
提高	94.0816
面臨	94.0575
搭	94.0505
競爭	94.0491
原則	94.0409
主動	93.8435
九	93.8186
占	93.7997
房間	93.7811
導演	93.6531
行政	93.4971
補助	93.3685
台北市	93.3641
哥哥	93.0752
公共	93.0407
在於	92.7216
剛才	92.6895
工廠	92.5685
洗	92.4385
店	92.2286
尊重	92.1839
往往	92.1807
電	92.1252
免費	92.1064
公開	92.0198
