# phrase	weight	tags
機捷	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-28,seen_days_30=3,signal_14=9,signal_30=9,windows_14=7d,max_traffic=200
正達	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=14,signal_30=14,windows_14=48h+7d,max_traffic=2000
江青霞	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-27,last_seen=2026-06-29,seen_days_30=3,signal_14=14,signal_30=14,windows_14=24h+48h+7d,max_traffic=10000
汶汶	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-28,seen_days_30=3,signal_14=9,signal_30=9,windows_14=7d,max_traffic=100000,derived_from=兄弟啦啦隊汶汶
沃齊尼亞	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=100
洪三雄	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=500
海鯤號	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=17,signal_30=17,windows_14=24h+48h+7d,max_traffic=2000,derived_from=海鯤號潛艦
淡江大橋	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-27,last_seen=2026-06-27,seen_days_30=1,signal_14=6,signal_30=6,windows_14=24h+48h+7d,max_traffic=200
游霆崴	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-28,seen_days_30=3,signal_14=9,signal_30=9,windows_14=7d,max_traffic=200
漢磊	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=1000
漢翔	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
潘健成	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
王國材	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=100
王定宇	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-29,seen_days_30=5,signal_14=18,signal_30=18,windows_14=24h+48h+7d,max_traffic=10000
王欣瑜	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=100
王翾祐	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
王耿豪	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
王苡丞	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=100
班鐵翔	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=5000
環狀線	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-29,seen_days_30=5,signal_14=18,signal_30=18,windows_14=24h+48h+7d,max_traffic=100
田中碧	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-28,seen_days_30=3,signal_14=9,signal_30=9,windows_14=7d,max_traffic=500
百容	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-27,last_seen=2026-06-29,seen_days_30=3,signal_14=14,signal_30=14,windows_14=24h+48h+7d,max_traffic=100
